Entry	Entry name	Protein names	Gene names	Cross-reference (RefSeq)
B8I1X4	B8I1X4_RUMCH	Uncharacterized protein	Ccel_1446	WP_015924944.1;
B8I4J5	B8I4J5_RUMCH	Ferredoxin	Ccel_0161	WP_012634615.1;
B8I1G7	B8I1G7_RUMCH	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	trpS Ccel_1411	WP_015924910.1;
B8I6D5	B8I6D5_RUMCH	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	frr Ccel_0445	WP_012634889.1;
B8I4V5	B8I4V5_RUMCH	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)	galT Ccel_2272	WP_015925701.1;
B8I2R9	B8I2R9_RUMCH	Transglutaminase domain protein	Ccel_1711	WP_015925177.1;
B8I912	B8I912_RUMCH	Uncharacterized protein	Ccel_3052	WP_015926403.1;
B8I1A5	B8I1A5_RUMCH	Epoxyqueuosine reductase QueH (EC 1.17.99.6) (Queuosine biosynthesis protein QueH)	queH Ccel_1349	WP_015924851.1;
B8I112	B8I112_RUMCH	Uncharacterized protein	Ccel_3279	WP_015926626.1;
B8I7S2	B8I7S2_RUMCH	ROK family protein	Ccel_0700	WP_015924247.1;
B8I4A6	B8I4A6_RUMCH	SIR2_2 domain-containing protein	Ccel_0072	WP_012634526.1;
B8I528	B8I528_RUMCH	Methyl-accepting chemotaxis sensory transducer	Ccel_0221	WP_012634673.1;
B8I372	B8I372_RUMCH	Excinuclease ABC C subunit domain protein	Ccel_1867	WP_015925320.1;
B8I0J8	B8I0J8_RUMCH	Uncharacterized protein	Ccel_1216	WP_015924723.1;
B8I7G1	B8I7G1_RUMCH	Uncharacterized protein	Ccel_2721	WP_015926104.1;
B8I6E9	B8I6E9_RUMCH	Phosphoesterase RecJ domain protein	Ccel_0459	WP_012634903.1;
B8I998	B8I998_RUMCH	Extracellular solute-binding protein family 1	Ccel_0996	WP_015924515.1;
B8I2Q6	B8I2Q6_RUMCH	Uncharacterized protein	Ccel_1698	WP_015925164.1;
B8I257	B8I257_RUMCH	Peptidase membrane zinc metallopeptidase putative	Ccel_1531	WP_015925024.1;
B8I0Z7	B8I0Z7_RUMCH	Transcriptional regulator, AraC family	Ccel_3264	WP_015926611.1;
B8I7G3	B8I7G3_RUMCH	Integrase family protein	Ccel_2723	WP_015926106.1;
B8I0P8	B8I0P8_RUMCH	Cobalt transport protein CbiN (Energy-coupling factor transporter probable substrate-capture protein CbiN) (ECF transporter S component CbiN)	cbiN Ccel_1267	WP_015924772.1;
B8I4I7	B8I4I7_RUMCH	Beta-xylanase (EC 3.2.1.8)	Ccel_0153	
B8I8X1	B8I8X1_RUMCH	Transcriptional regulator, CarD family	Ccel_3009	WP_015926362.1;
B8I1B2	B8I1B2_RUMCH	Uncharacterized protein	Ccel_1356	WP_015924858.1;
B8I7S5	B8I7S5_RUMCH	Anaerobic ribonucleoside-triphosphate reductase-activating protein (EC 1.97.1.-)	Ccel_0703	
B8I2Y6	B8I2Y6_RUMCH	Amine oxidase	Ccel_1778	WP_015925244.1;
B8HZX2	B8HZX2_RUMCH	NusG_II domain-containing protein	Ccel_1114	WP_015924628.1;
B8I2U1	B8I2U1_RUMCH	HI0933 family protein	Ccel_1733	WP_015925199.1;
B8I854	B8I854_RUMCH	rRNA biogenesis protein rrp5, putative	Ccel_2860	WP_015926223.1;
B8I1K1	B8I1K1_RUMCH	Uncharacterized protein	Ccel_3347	WP_015926688.1;
B8I6M2	B8I6M2_RUMCH	Uncharacterized protein	Ccel_0532	WP_015924087.1;
B8I5S3	B8I5S3_RUMCH	Uncharacterized protein	Ccel_0355	WP_012634804.1;
B8I5Q1	B8I5Q1_RUMCH	Uncharacterized protein	Ccel_0331	
B8I6Z7	B8I6Z7_RUMCH	Uncharacterized protein	Ccel_2667	
B8I7A5	B8I7A5_RUMCH	Fibronectin type III domain protein	Ccel_0648	WP_015924198.1;
B8I8G1	B8I8G1_RUMCH	Uncharacterized protein	Ccel_0816	WP_015924356.1;
B8I0K7	B8I0K7_RUMCH	Inner-membrane translocator	Ccel_1226	WP_015924731.1;
B8I829	B8I829_RUMCH	ATP-dependent Clp protease proteolytic subunit	Ccel_2835	WP_015926200.1;
B8I1P4	B8I1P4_RUMCH	Uncharacterized protein	Ccel_3391	WP_015926731.1;
B8I4U6	B8I4U6_RUMCH	Uncharacterized protein	Ccel_2261	WP_015925692.1;
B8I124	B8I124_RUMCH	Putative phage major capsid protein	Ccel_3291	WP_015926636.1;
B8I9C2	B8I9C2_RUMCH	Glyco_hyd_65N_2 domain-containing protein	Ccel_1020	WP_015924538.1;
B8I027	B8I027_RUMCH	Uncharacterized protein	Ccel_1170	WP_015924680.1;
B8I752	B8I752_RUMCH	Uncharacterized protein	Ccel_0595	WP_015924145.1;
B8I5Z7	B8I5Z7_RUMCH	Putative spore-coat protein	Ccel_0431	
B8I7D4	B8I7D4_RUMCH	Ribosomal protein S12 methylthiotransferase RimO (S12 MTTase) (S12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein S12 (aspartate-C(3))-methylthiotransferase) (Ribosome maturation factor RimO)	rimO Ccel_0678	WP_015924227.1;
B8I2B7	B8I2B7_RUMCH	ATP-grasp domain-containing protein	Ccel_1558	WP_015925050.1;
B8I7F8	B8I7F8_RUMCH	Uncharacterized protein	Ccel_2718	
B8I9D5	B8I9D5_RUMCH	L-arabinose isomerase	Ccel_1033	WP_015924551.1;
B8HZX7	B8HZX7_RUMCH	Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19)	speA Ccel_1119	WP_015924633.1;
B8I8V7	B8I8V7_RUMCH	Binding-protein-dependent transport systems inner membrane component	Ccel_2995	WP_015926348.1;
B8I2M4	B8I2M4_RUMCH	Transposase IS3/IS911 family protein	Ccel_1666	
B8I6K2	B8I6K2_RUMCH	Peptidase A24A prepilin type IV	Ccel_0512	WP_012634956.1;
B8I269	B8I269_RUMCH	Cellulosome anchoring protein cohesin region	Ccel_1543	WP_015925035.1;
B8I221	B8I221_RUMCH	Uncharacterized protein	Ccel_1494	
B8I8E9	B8I8E9_RUMCH	zf-HC2 domain-containing protein	Ccel_0804	WP_015924344.1;
B8I6X5	B8I6X5_RUMCH	Peptidase S8 and S53 subtilisin kexin sedolisin	Ccel_2643	WP_015926051.1;
B8I0K2	B8I0K2_RUMCH	Alpha-L-arabinofuranosidase domain protein	Ccel_1221	WP_015924726.1;
B8I1L3	B8I1L3_RUMCH	DUF5668 domain-containing protein	Ccel_3359	WP_015926700.1;
B8I4I6	B8I4I6_RUMCH	Binding-protein-dependent transport systems inner membrane component	Ccel_0152	WP_012634606.1;
B8I2L5	B8I2L5_RUMCH	Uncharacterized protein	Ccel_1657	WP_015925124.1;
B8I4J8	B8I4J8_RUMCH	Transcriptional regulator, AbrB family	Ccel_0164	WP_004619198.1;
B8I3T2	B8I3T2_RUMCH	Peptidoglycan-binding LysM	Ccel_0021	WP_012634476.1;
B8I7M5	B8I7M5_RUMCH	Methyltransferase type 11	Ccel_2801	
B8I7J6	B8I7J6_RUMCH	Uncharacterized protein	Ccel_2769	WP_015926139.1;
B8I3K3	B8I3K3_RUMCH	FeoA family protein	Ccel_1998	WP_015925450.1;
B8I252	B8I252_RUMCH	Polyprenyl synthetase	Ccel_1526	WP_015925019.1;
B8I5G5	B8I5G5_RUMCH	Uncharacterized protein	Ccel_2368	
B8I0S6	B8I0S6_RUMCH	Peptidase M15B and M15C DD-carboxypeptidase VanY/endolysin	Ccel_1296	WP_015924799.1;
B8I4L9	B8I4L9_RUMCH	Transcriptional regulator, AraC family	Ccel_0186	WP_012634638.1;
B8I5U6	B8I5U6_RUMCH	Uncharacterized protein	Ccel_0378	WP_012634826.1;
B8I8N3	B8I8N3_RUMCH	Iron-containing alcohol dehydrogenase	Ccel_0894	WP_015924426.1;
B8I3K0	B8I3K0_RUMCH	Ferric uptake regulator, Fur family	Ccel_1995	WP_015925447.1;
B8I3M2	B8I3M2_RUMCH	Uncharacterized protein	Ccel_2019	WP_015925467.1;
B8I316	B8I316_RUMCH	Cellulase (EC 3.2.1.4)	Ccel_1809	WP_015925274.1;
B8I461	B8I461_RUMCH	Peptidoglycan-binding domain 1 protein	Ccel_2151	
B8I0U5	B8I0U5_RUMCH	Uncharacterized protein	Ccel_3211	WP_015926559.1;
B8I400	B8I400_RUMCH	Uncharacterized protein	Ccel_2088	WP_015925535.1;
B8I0N3	B8I0N3_RUMCH	Extracellular solute-binding protein family 1	Ccel_1252	WP_015924757.1;
B8I5R8	B8I5R8_RUMCH	Uncharacterized protein	Ccel_0349	WP_012634799.1;
B8I000	B8I000_RUMCH	Transcriptional regulator, ArsR family	Ccel_1143	
B8I6L7	B8I6L7_RUMCH	SpoIID/LytB domain protein	Ccel_0527	WP_015924082.1;
B8I4X7	B8I4X7_RUMCH	K(+)-insensitive pyrophosphate-energized proton pump (EC 7.1.3.1) (Membrane-bound proton-translocating pyrophosphatase) (Pyrophosphate-energized inorganic pyrophosphatase) (H(+)-PPase)	hppA Ccel_2294	WP_015925723.1;
B8I3E0	B8I3E0_RUMCH	Uncharacterized protein	Ccel_1935	WP_015925387.1;
B8I306	B8I306_RUMCH	Protein GrpE (HSP-70 cofactor)	grpE Ccel_1799	WP_015925264.1;
B8I075	B8I075_RUMCH	TrkA-C domain protein	Ccel_3109	WP_015926459.1;
B8I6K7	B8I6K7_RUMCH	Amidase_6 domain-containing protein	Ccel_0517	
B8I0X1	B8I0X1_RUMCH	UDP-glucose 4-epimerase (EC 5.1.3.2)	Ccel_3237	WP_015926585.1;
B8I8Z2	B8I8Z2_RUMCH	Uncharacterized protein	Ccel_3032	WP_015926383.1;
B8I0S4	B8I0S4_RUMCH	Uncharacterized protein	Ccel_1294	WP_015924797.1;
B8I470	B8I470_RUMCH	Transcriptional regulator, TetR family	Ccel_2161	WP_015925598.1;
B8I2C1	B8I2C1_RUMCH	Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase	Ccel_1562	WP_015925054.1;
B8I584	B8I584_RUMCH	Fibronectin type III domain protein	Ccel_0277	WP_012634729.1;
B8I536	B8I536_RUMCH	DUF4352 domain-containing protein	Ccel_0229	WP_012634681.1;
B8I1C7	B8I1C7_RUMCH	Competence protein ComEA helix-hairpin-helix repeat protein	Ccel_1371	WP_015924873.1;
B8I3I6	B8I3I6_RUMCH	MATE efflux family protein	Ccel_1981	WP_015925433.1;
B8I670	B8I670_RUMCH	Adenylate cyclase	Ccel_2507	WP_015925924.1;
B8I5D0	B8I5D0_RUMCH	Beta-ketoacyl synthase	Ccel_2330	WP_015925758.1;
B8I0B1	B8I0B1_RUMCH	Uncharacterized protein	Ccel_3146	WP_015926495.1;
B8I2J5	B8I2J5_RUMCH	Uncharacterized protein	Ccel_1637	WP_015925104.1;
B8I3S8	B8I3S8_RUMCH	Spore coat protein, CotS family	Ccel_0017	WP_012634472.1;
B8I6Y1	B8I6Y1_RUMCH	Uncharacterized protein	Ccel_2649	WP_015926057.1;
B8I0S9	B8I0S9_RUMCH	Transposase IS3/IS911 family protein	Ccel_1300	
B8I4A4	B8I4A4_RUMCH	Uncharacterized protein	Ccel_0070	WP_012634524.1;
B8I0D1	B8I0D1_RUMCH	Uncharacterized protein	Ccel_3166	
B8HZY0	B8HZY0_RUMCH	Uncharacterized protein	Ccel_1122	WP_015924636.1;
B8I987	B8I987_RUMCH	Phosphopantetheine-binding	Ccel_0985	WP_015924504.1;
B8I0V1	B8I0V1_RUMCH	N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)	trpF Ccel_3217	WP_015926565.1;
B8I191	B8I191_RUMCH	TSCPD domain-containing protein	Ccel_1335	WP_015924837.1;
B8I475	B8I475_RUMCH	Uncharacterized protein	Ccel_2166	WP_015925603.1;
B8I973	B8I973_RUMCH	NAD-dependent epimerase/dehydratase	Ccel_0971	WP_015924490.1;
B8I398	B8I398_RUMCH	SH3 type 3 domain protein	Ccel_1893	WP_015925346.1;
B8I935	B8I935_RUMCH	Transcriptional regulator, XRE family	Ccel_3075	WP_015926426.1;
B8I321	B8I321_RUMCH	Aminotransferase class-III	Ccel_1814	WP_015925278.1;
B8I8P5	B8I8P5_RUMCH	DUF362 domain-containing protein	Ccel_0906	WP_015924436.1;
B8I109	B8I109_RUMCH	Uncharacterized protein	Ccel_3276	WP_015926623.1;
B8I8S0	B8I8S0_RUMCH	Phage prohead protease, HK97 family	Ccel_2958	WP_015926317.1;
B8I5A6	B8I5A6_RUMCH	Uncharacterized protein	Ccel_0299	WP_012634751.1;
B8I3R9	B8I3R9_RUMCH	ParB-like partition protein	Ccel_0008	WP_012634463.1;
B8I7R7	B8I7R7_RUMCH	Aldo/keto reductase	Ccel_0695	WP_015924242.1;
B8I2J6	B8I2J6_RUMCH	Dihydroxyacetone kinase, L subunit	Ccel_1638	WP_015925105.1;
B8I5L5	B8I5L5_RUMCH	Hydro-lyase, Fe-S type, tartrate/fumarate subfamily, beta subunit	Ccel_2421	WP_015925840.1;
B8I309	B8I309_RUMCH	Aminotransferase class IV	Ccel_1802	WP_015925267.1;
B8I7I4	B8I7I4_RUMCH	NLP/P60 protein	Ccel_2749	WP_015926127.1;
B8I0G7	B8I0G7_RUMCH	Transport system permease protein	Ccel_3203	WP_015926551.1;
B8I102	B8I102_RUMCH	Uncharacterized protein	Ccel_3269	
B8I4K8	B8I4K8_RUMCH	Uncharacterized protein	Ccel_0174	WP_012634627.1;
B8I893	B8I893_RUMCH	Uncharacterized protein	Ccel_2899	WP_015926260.1;
B8I4B1	B8I4B1_RUMCH	DUF2007 domain-containing protein	Ccel_0077	WP_012634531.1;
B8I0W0	B8I0W0_RUMCH	Methyl-accepting chemotaxis sensory transducer	Ccel_3226	WP_015926574.1;
B8I395	B8I395_RUMCH	Peptidase S1 and S6 chymotrypsin/Hap	Ccel_1890	WP_015925343.1;
B8I0X9	B8I0X9_RUMCH	Extracellular solute-binding protein family 1	Ccel_3246	WP_015926593.1;
B8HZT8	B8HZT8_RUMCH	Isochorismatase hydrolase	Ccel_1079	WP_015924594.1;
B8I190	B8I190_RUMCH	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA Ccel_1334	
B8I3M4	B8I3M4_RUMCH	Uncharacterized protein	Ccel_2021	WP_015925469.1;
B8I8Q9	B8I8Q9_RUMCH	Uncharacterized protein	Ccel_0926	WP_015924449.1;
B8I2T6	B8I2T6_RUMCH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4)	ispH Ccel_1728	WP_015925194.1;
B8I2Q7	B8I2Q7_RUMCH	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)	miaB Ccel_1699	
B8I8M2	B8I8M2_RUMCH	Polysaccharide deacetylase	Ccel_0883	WP_015924415.1;
B8I835	B8I835_RUMCH	DNA (cytosine-5-)-methyltransferase (EC 2.1.1.37)	Ccel_2841	WP_015926206.1;
B8I3J2	B8I3J2_RUMCH	Putative solute-binding component of ABC transporter	Ccel_1987	WP_015925439.1;
B8HZY6	B8HZY6_RUMCH	Saccharopine dehydrogenase	Ccel_1128	WP_015924642.1;
B8I846	B8I846_RUMCH	AntA/AntB antirepressor domain protein	Ccel_2852	WP_000344037.1;
B8I4C0	B8I4C0_RUMCH	4HBT domain-containing protein	Ccel_0086	WP_012634540.1;
B8I653	B8I653_RUMCH	Uncharacterized protein	Ccel_2490	WP_015925907.1;
B8I2V8	B8I2V8_RUMCH	Pyrimidine-nucleoside phosphorylase (EC 2.4.2.2)	Ccel_1750	WP_015925216.1;
B8I6Z9	B8I6Z9_RUMCH	Carbohydrate-binding family 9	Ccel_2669	
B8I300	B8I300_RUMCH	YicC domain protein	Ccel_1793	WP_015925258.1;
B8I533	B8I533_RUMCH	Uncharacterized protein	Ccel_0226	WP_012634678.1;
B8I2A2	B8I2A2_RUMCH	Small, acid-soluble spore protein	Ccel_3477	WP_015926817.1;
B8I383	B8I383_RUMCH	Sporulation integral membrane protein YlbJ	Ccel_1878	WP_015925331.1;
B8I1V9	B8I1V9_RUMCH	Uncharacterized protein	Ccel_3456	
B8I4K4	B8I4K4_RUMCH	3D domain protein	Ccel_0170	WP_012634623.1;
B8HZY4	B8HZY4_RUMCH	Copper amine oxidase domain protein	Ccel_1126	WP_015924640.1;
B8I7D3	B8I7D3_RUMCH	Regulatory protein RecX	recX Ccel_0677	WP_015924226.1;
B8I2L0	B8I2L0_RUMCH	NLP/P60 protein	Ccel_1652	WP_015925119.1;
B8I0H9	B8I0H9_RUMCH	Uncharacterized protein	Ccel_1197	WP_015924706.1;
B8I5I0	B8I5I0_RUMCH	Condensation domain protein	Ccel_2383	WP_015925805.1;
B8I2H2	B8I2H2_RUMCH	Uncharacterized protein	Ccel_1613	
B8I6H1	B8I6H1_RUMCH	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	mraY Ccel_0481	WP_012634925.1;
B8I9C0	B8I9C0_RUMCH	Uncharacterized protein	Ccel_1018	WP_015924537.1;
B8I971	B8I971_RUMCH	NAD-dependent epimerase/dehydratase	Ccel_0969	WP_015924488.1;
B8I1Q2	B8I1Q2_RUMCH	SLH domain-containing protein	Ccel_3399	WP_015926739.1;
B8I4Z3	B8I4Z3_RUMCH	CheB methylesterase	Ccel_2310	
B8I7W4	B8I7W4_RUMCH	Cell wall hydrolase/autolysin	Ccel_0743	WP_015924288.1;
B8I2T3	B8I2T3_RUMCH	DUF4130 domain-containing protein	Ccel_1725	WP_015925191.1;
B8I5L2	B8I5L2_RUMCH	Uncharacterized protein	Ccel_2418	WP_015925837.1;
B8I7J5	B8I7J5_RUMCH	Uncharacterized protein	Ccel_2768	
B8I739	B8I739_RUMCH	Cardiolipin synthase (CL synthase) (EC 2.7.8.-)	Ccel_0582	WP_015924134.1;
B8I8B0	B8I8B0_RUMCH	GCN5-related N-acetyltransferase	Ccel_2916	WP_015926277.1;
B8I5S2	B8I5S2_RUMCH	RNA binding S1 domain protein	Ccel_0354	WP_012634803.1;
B8I4D0	B8I4D0_RUMCH	Flagellar hook-associated protein 3	Ccel_0096	WP_012634550.1;
B8I5A5	B8I5A5_RUMCH	Uncharacterized protein	Ccel_0298	WP_012634750.1;
B8I5V0	B8I5V0_RUMCH	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	hisD Ccel_0382	WP_012634830.1;
B8I681	B8I681_RUMCH	Phosphopantetheine-binding	Ccel_2518	WP_015925935.1;
B8I1N5	B8I1N5_RUMCH	Sulfatase	Ccel_3382	WP_015926722.1;
B8I961	B8I961_RUMCH	Transcriptional regulator, XRE family	Ccel_0958	WP_015924478.1;
B8I879	B8I879_RUMCH	Beta-ketoacyl-[acyl-carrier-protein] synthase III (EC 2.3.1.180)	Ccel_2885	WP_015926247.1;
B8I7X2	B8I7X2_RUMCH	Peptidylprolyl isomerase (EC 5.2.1.8)	Ccel_0751	WP_015924296.1;
B8I059	B8I059_RUMCH	UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase	Ccel_3093	WP_015926443.1;
B8I738	B8I738_RUMCH	DNA repair protein RecO (Recombination protein O)	recO Ccel_0581	WP_015924133.1;
B8I9F3	B8I9F3_RUMCH	Small GTP-binding protein	Ccel_1053	WP_015924569.1;
B8I207	B8I207_RUMCH	CRISPR-associated protein, Csd2 family	Ccel_1480	WP_015924974.1;
B8I210	B8I210_RUMCH	CRISPR-associated endoribonuclease Cas2 (EC 3.1.-.-)	cas2 Ccel_1483	WP_015924977.1;
B8I693	B8I693_RUMCH	Cellulase (EC 3.2.1.4)	Ccel_2530	WP_015925947.1;
B8I4A2	B8I4A2_RUMCH	Integrase family protein	Ccel_0068	WP_012634522.1;
B8I5F8	B8I5F8_RUMCH	Uncharacterized protein	Ccel_2360	WP_015925786.1;
B8I9E7	B8I9E7_RUMCH	Radical SAM domain protein	Ccel_1045	WP_015924563.1;
B8I7R6	B8I7R6_RUMCH	TM1586_NiRdase domain-containing protein	Ccel_0694	WP_015924241.1;
B8I0Z9	B8I0Z9_RUMCH	Transposase IS200-family protein	Ccel_3266	WP_015926613.1;
B8I7A8	B8I7A8_RUMCH	Uncharacterized protein	Ccel_0651	WP_015924201.1;
B8I3M3	B8I3M3_RUMCH	Uncharacterized protein	Ccel_2020	WP_015925468.1;
B8I8V2	B8I8V2_RUMCH	Peptidase S1 and S6 chymotrypsin/Hap	Ccel_2990	WP_015926343.1;
B8I5K3	B8I5K3_RUMCH	Type IV pilus assembly protein PilM	Ccel_2409	WP_015925828.1;
B8I6D8	B8I6D8_RUMCH	Phosphatidate cytidylyltransferase	Ccel_0448	WP_012634892.1;
B8I246	B8I246_RUMCH	ThrE domain-containing protein	Ccel_1520	WP_015925013.1;
B8I2H4	B8I2H4_RUMCH	Oxidoreductase/nitrogenase component 1	Ccel_1615	WP_015925083.1;
B8I9C3	B8I9C3_RUMCH	Uncharacterized protein	Ccel_1021	WP_015924539.1;
B8I5T9	B8I5T9_RUMCH	Sulfatase	Ccel_0371	WP_012634819.1;
B8I174	B8I174_RUMCH	DUF2344 domain-containing protein	Ccel_1318	WP_015924820.1;
B8I849	B8I849_RUMCH	Transcriptional regulator, TetR family	Ccel_2855	WP_015926218.1;
B8I282	B8I282_RUMCH	Putative transcriptional regulator, ArsR family	Ccel_1556	WP_015925048.1;
B8I022	B8I022_RUMCH	Uncharacterized protein	Ccel_1165	WP_015924675.1;
B8I6Y0	B8I6Y0_RUMCH	Uncharacterized protein	Ccel_2648	WP_015926056.1;
B8I959	B8I959_RUMCH	Uncharacterized protein	Ccel_0956	WP_015924476.1;
B8I2A0	B8I2A0_RUMCH	Uncharacterized protein	Ccel_3475	WP_015926815.1;
B8I387	B8I387_RUMCH	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG Ccel_1882	WP_015925335.1;
B8I451	B8I451_RUMCH	Proposed homoserine kinase	Ccel_2140	WP_015925582.1;
B8I373	B8I373_RUMCH	Cyclase family protein	Ccel_1868	WP_015925321.1;
B8I0M1	B8I0M1_RUMCH	Carbohydrate binding family 6	Ccel_1240	WP_015924745.1;
B8HZX0	B8HZX0_RUMCH	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	Ccel_1112	WP_015924626.1;
B8I0F5	B8I0F5_RUMCH	PfkB domain protein	Ccel_3191	WP_015926539.1;
B8I0Y8	B8I0Y8_RUMCH	Orn/DAP/Arg decarboxylase 2	Ccel_3255	WP_015926602.1;
B8I9F4	B8I9F4_RUMCH	tRNA-dihydrouridine synthase (EC 1.3.1.-)	Ccel_1054	WP_015924570.1;
B8I4F7	B8I4F7_RUMCH	ABC transporter related	Ccel_0123	WP_012634577.1;
B8I480	B8I480_RUMCH	Pseudouridine synthase (EC 5.4.99.-)	Ccel_2171	WP_015925608.1;
B8I3Y2	B8I3Y2_RUMCH	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD (EC 6.3.5.13) (Lipid II isoglutaminyl synthase glutaminase subunit) (EC 3.5.1.2)	gatD Ccel_2070	WP_015925517.1;
B8I916	B8I916_RUMCH	VRR-NUC domain protein	Ccel_3056	WP_015926407.1;
B8I500	B8I500_RUMCH	VWFA domain-containing protein	Ccel_0193	WP_012634645.1;
B8I503	B8I503_RUMCH	Putative ABC transporter, permease protein	Ccel_0196	WP_012634648.1;
B8I8H7	B8I8H7_RUMCH	Uncharacterized protein	Ccel_0833	
B8I0V8	B8I0V8_RUMCH	Alcohol dehydrogenase GroES domain protein	Ccel_3224	WP_015926572.1;
B8I3Y4	B8I3Y4_RUMCH	Uncharacterized protein	Ccel_2072	WP_015925519.1;
B8I3U0	B8I3U0_RUMCH	GAF domain-containing protein	Ccel_0029	WP_012634484.1;
B8I2G1	B8I2G1_RUMCH	MOSC domain containing protein	Ccel_1602	WP_015925070.1;
B8HZX5	B8HZX5_RUMCH	FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase)	Ccel_1117	WP_015924631.1;
B8I280	B8I280_RUMCH	OB-fold nucleic acid binding domain-containing protein	Ccel_1554	
B8I274	B8I274_RUMCH	Transcriptional regulator, AraC family	Ccel_1548	WP_015925040.1;
B8I6S9	B8I6S9_RUMCH	Endoribonuclease L-PSP	Ccel_2593	WP_015926008.1;
B8I0D4	B8I0D4_RUMCH	Uncharacterized protein	Ccel_3169	
B8I7Q5	B8I7Q5_RUMCH	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH Ccel_0682	WP_015924231.1;
B8I072	B8I072_RUMCH	Zn-finger containing protein	Ccel_3106	WP_015926456.1;
B8I3N2	B8I3N2_RUMCH	Cobyrinic acid ac-diamide synthase	Ccel_2029	WP_015925477.1;
B8I3X0	B8I3X0_RUMCH	Uncharacterized protein	Ccel_0059	
B8I322	B8I322_RUMCH	NAD-dependent epimerase/dehydratase	Ccel_1815	WP_015925279.1;
B8I6X2	B8I6X2_RUMCH	Transcriptional regulator, MerR family	Ccel_2638	WP_015926048.1;
B8I2Q0	B8I2Q0_RUMCH	Peptidoglycan-binding LysM	Ccel_1692	WP_015925158.1;
B8I2K9	B8I2K9_RUMCH	40-residue YVTN family beta-propeller repeat protein	Ccel_1651	
B8I8L4	B8I8L4_RUMCH	Coenzyme F390 synthetase-like protein	Ccel_0875	WP_015924407.1;
B8I2H7	B8I2H7_RUMCH	Phospho-2-dehydro-3-deoxyheptonate aldolase	Ccel_1618	WP_015925086.1;
B8I6Y9	B8I6Y9_RUMCH	Stage 0 sporulation protein A homolog	Ccel_2658	WP_015926065.1;
B8I594	B8I594_RUMCH	Methyl-accepting chemotaxis sensory transducer	Ccel_0287	WP_012634739.1;
B8I1V8	B8I1V8_RUMCH	Accessory gene regulator B	Ccel_3455	WP_015926795.1;
B8I2H1	B8I2H1_RUMCH	Aminotransferase class-III	Ccel_1612	WP_015925080.1;
B8I390	B8I390_RUMCH	Diguanylate cyclase with GAF sensor	Ccel_1885	WP_015925338.1;
B8I0W2	B8I0W2_RUMCH	Peptidase_S9 domain-containing protein	Ccel_3228	WP_015926576.1;
B8I347	B8I347_RUMCH	Uncharacterized protein	Ccel_1842	WP_015925296.1;
B8I4M6	B8I4M6_RUMCH	Peptidoglycan-binding domain 1 protein	Ccel_2188	WP_015925625.1;
B8I911	B8I911_RUMCH	Terminase small subunit	Ccel_3051	WP_015926402.1;
B8I4D9	B8I4D9_RUMCH	Flagellar hook-associated protein 2 (HAP2) (Flagellar cap protein)	Ccel_0105	WP_012634559.1;
B8I488	B8I488_RUMCH	Methyl-accepting chemotaxis sensory transducer	Ccel_2179	WP_015925616.1;
B8I6F0	B8I6F0_RUMCH	tRNA pseudouridine synthase B (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)	truB Ccel_0460	WP_012634904.1;
B8I860	B8I860_RUMCH	Restriction endonuclease MspI	Ccel_2866	WP_015926228.1;
B8I2L8	B8I2L8_RUMCH	Cytochrome c biogenesis protein transmembrane region	Ccel_1660	WP_015925127.1;
B8I9E8	B8I9E8_RUMCH	Radical SAM domain protein	Ccel_1046	WP_015924564.1;
B8I5L4	B8I5L4_RUMCH	DUF1858 domain-containing protein	Ccel_2420	WP_015925839.1;
